name;postal_code;latitude;longitude;department;department_code;region;country
FRANCHELEINS;1090;46.0735946256;4.81293575559;Ain;84;Auvergne-Rhône-Alpes;FR
FRANS;1480;45.9939065077;4.78033196905;Ain;84;Auvergne-Rhône-Alpes;FR
GARNERANS;1140;46.2136224825;4.82843188743;Ain;84;Auvergne-Rhône-Alpes;FR
GENOUILLEUX;1090;46.1201611728;4.79288195016;Ain;84;Auvergne-Rhône-Alpes;FR
BEARD GEOVREISSIAT;1460;46.1896733539;5.55139781353;Ain;84;Auvergne-Rhône-Alpes;FR
GEOVREISSET;1100;46.2508621615;5.61271973915;Ain;84;Auvergne-Rhône-Alpes;FR
GERMAGNAT;1250;46.3054983344;5.45012798616;Ain;84;Auvergne-Rhône-Alpes;FR
GEX;1170;46.3471891747;6.04650555568;Ain;84;Auvergne-Rhône-Alpes;FR
GIRON;1130;46.2227121191;5.78049809256;Ain;84;Auvergne-Rhône-Alpes;FR
GORREVOD;1190;46.414943437;4.95120595427;Ain;84;Auvergne-Rhône-Alpes;FR
GRAND CORENT;1250;46.207387937;5.43318666027;Ain;84;Auvergne-Rhône-Alpes;FR
GRIEGES;1290;46.2633634407;4.84621318847;Ain;84;Auvergne-Rhône-Alpes;FR
GRILLY;1220;46.3318810665;6.11366767978;Ain;84;Auvergne-Rhône-Alpes;FR
GROISSIAT;1100;46.2260039429;5.61095413441;Ain;84;Auvergne-Rhône-Alpes;FR
GUEREINS;1090;46.106624674;4.78159420118;Ain;84;Auvergne-Rhône-Alpes;FR
HAUTECOURT ROMANECHE;1250;46.1611241927;5.42944457639;Ain;84;Auvergne-Rhône-Alpes;FR
HAUTECOURT ROMANECHE;1250;46.1611241927;5.42944457639;Ain;84;Auvergne-Rhône-Alpes;FR
HAUTEVILLE LOMPNES;1110;45.9696520061;5.57627261783;Ain;84;Auvergne-Rhône-Alpes;FR
HOSTIAZ;1110;45.9061631889;5.54077986031;Ain;84;Auvergne-Rhône-Alpes;FR
HAUT VALROMEY;1260;46.0317412192;5.70267027388;Ain;84;Auvergne-Rhône-Alpes;FR
HAUT VALROMEY;1260;46.0317412192;5.70267027388;Ain;84;Auvergne-Rhône-Alpes;FR
HAUT VALROMEY;1260;46.0317412192;5.70267027388;Ain;84;Auvergne-Rhône-Alpes;FR
HAUT VALROMEY;1260;46.0317412192;5.70267027388;Ain;84;Auvergne-Rhône-Alpes;FR
ILLIAT;1140;46.1866986838;4.88840344003;Ain;84;Auvergne-Rhône-Alpes;FR
INJOUX GENISSIAT;1200;46.0497734524;5.75991363273;Ain;84;Auvergne-Rhône-Alpes;FR
INJOUX GENISSIAT;1200;46.0497734524;5.75991363273;Ain;84;Auvergne-Rhône-Alpes;FR
INNIMOND;1680;45.7919647191;5.57389398559;Ain;84;Auvergne-Rhône-Alpes;FR
IZENAVE;1430;46.0381623415;5.52447901164;Ain;84;Auvergne-Rhône-Alpes;FR
IZERNORE;1580;46.2179780137;5.56258251719;Ain;84;Auvergne-Rhône-Alpes;FR
IZIEU;1300;45.6557496407;5.63909140794;Ain;84;Auvergne-Rhône-Alpes;FR
JASSANS RIOTTIER;1480;45.9777239103;4.75984637871;Ain;84;Auvergne-Rhône-Alpes;FR
